Year,Month,CO2
1958,3,314.89
1958,4,314.98
1958,5,315.06
1958,6,315.14
1958,7,315.21
1958,8,315.29
1958,9,315.35
1958,10,315.4
1958,11,315.46
1958,12,315.51
1959,1,315.57
1959,2,315.63
1959,3,315.69
1959,4,315.76
1959,5,315.84
1959,6,315.93
1959,7,316.02
1959,8,316.12
1959,9,316.21
1959,10,316.3
1959,11,316.39
1959,12,316.47
1960,1,316.56
1960,2,316.64
1960,3,316.72
1960,4,316.8
1960,5,316.87
1960,6,316.93
1960,7,316.98
1960,8,317.01
1960,9,317.04
1960,10,317.07
1960,11,317.1
1960,12,317.14
1961,1,317.19
1961,2,317.26
1961,3,317.32
1961,4,317.41
1961,5,317.49
1961,6,317.59
1961,7,317.67
1961,8,317.76
1961,9,317.84
1961,10,317.92
1961,11,317.99
1961,12,318.06
1962,1,318.12
1962,2,318.19
1962,3,318.25
1962,4,318.32
1962,5,318.39
1962,6,318.45
1962,7,318.5
1962,8,318.55
1962,9,318.6
1962,10,318.64
1962,11,318.68
1962,12,318.71
1963,1,318.76
1963,2,318.8
1963,3,318.85
1963,4,318.9
1963,5,318.96
1963,6,319.01
1963,7,319.05
1963,8,319.09
1963,9,319.13
1963,10,319.18
1963,11,319.22
1963,12,319.27
1964,1,319.31
1964,2,319.36
1964,3,319.4
1964,4,319.45
1964,5,319.49
1964,6,319.52
1964,7,319.55
1964,8,319.58
1964,9,319.6
1964,10,319.62
1964,11,319.63
1964,12,319.65
1965,1,319.68
1965,2,319.71
1965,3,319.76
1965,4,319.82
1965,5,319.9
1965,6,319.99
1965,7,320.09
1965,8,320.2
1965,9,320.32
1965,10,320.43
1965,11,320.55
1965,12,320.66
1966,1,320.78
1966,2,320.91
1966,3,321.01
1966,4,321.12
1966,5,321.23
1966,6,321.32
1966,7,321.41
1966,8,321.48
1966,9,321.55
1966,10,321.62
1966,11,321.68
1966,12,321.74
1967,1,321.8
1967,2,321.85
1967,3,321.9
1967,4,321.95
1967,5,322.01
1967,6,322.07
1967,7,322.13
1967,8,322.2
1967,9,322.27
1967,10,322.34
1967,11,322.42
1967,12,322.49
1968,1,322.57
1968,2,322.65
1968,3,322.73
1968,4,322.82
1968,5,322.92
1968,6,323.02
1968,7,323.13
1968,8,323.25
1968,9,323.36
1968,10,323.48
1968,11,323.61
1968,12,323.74
1969,1,323.88
1969,2,324.03
1969,3,324.16
1969,4,324.3
1969,5,324.44
1969,6,324.57
1969,7,324.69
1969,8,324.8
1969,9,324.9
1969,10,324.99
1969,11,325.07
1969,12,325.15
1970,1,325.24
1970,2,325.32
1970,3,325.39
1970,4,325.47
1970,5,325.55
1970,6,325.63
1970,7,325.7
1970,8,325.77
1970,9,325.83
1970,10,325.88
1970,11,325.93
1970,12,325.97
1971,1,326.01
1971,2,326.04
1971,3,326.08
1971,4,326.13
1971,5,326.19
1971,6,326.26
1971,7,326.33
1971,8,326.4
1971,9,326.47
1971,10,326.54
1971,11,326.62
1971,12,326.69
1972,1,326.78
1972,2,326.87
1972,3,326.97
1972,4,327.09
1972,5,327.22
1972,6,327.37
1972,7,327.53
1972,8,327.71
1972,9,327.9
1972,10,328.09
1972,11,328.3
1972,12,328.5
1973,1,328.71
1973,2,328.92
1973,3,329.11
