Year,CO2
1958,315.229
1959,315.9941666666667
1960,316.90500000000003
1961,317.62499999999994
1962,318.45
1963,319.0183333333333
1964,319.5133333333333
1965,320.0925
1966,321.3208333333334
1967,322.1191666666667
1968,323.10666666666674
1969,324.5816666666667
1970,325.63999999999993
1971,326.31333333333333
1972,327.52750000000003
1973,329.5775
1974,330.29749999999996
1975,331.1458333333333
1976,332.1816666666667
1977,333.8691666666667
1978,335.5125
1979,336.8883333333334
1980,338.655
1981,339.94333333333327
1982,341.08250000000004
1983,342.7358333333334
1984,344.4391666666666
1985,345.84916666666663
1986,347.1275
1987,348.9966666666667
1988,351.4258333333333
1989,352.9316666666666
1990,354.19
1991,355.60083333333336
1992,356.34833333333336
1993,357.0958333333333
1994,358.8525
1995,360.8983333333333
1996,362.5641666666667
1997,363.85083333333336
1998,366.55916666666667
1999,368.29749999999996
2000,369.4616666666666
2001,371.02583333333337
2002,373.0716666666667
2003,375.5941666666667
2004,377.4083333333333
2005,379.605
2006,381.7425
2007,383.56749999999994
2008,385.43333333333334
2009,387.42
2010,389.80833333333334
2011,391.6483333333333
2012,393.90416666666664
2013,396.5083333333334
2014,398.6000000000001
2015,400.94083333333333
2016,404.22833333333324
2017,405.83
