Year,Extent
1978,12.976838235294123
1979,12.019348901098912
1980,11.78521857923496
1981,11.776147540983606
1982,12.04875549450549
1983,11.852904371584696
1984,11.681139344262299
1985,11.810214285714277
1986,11.639773224043713
1987,12.149411363636366
1988,11.88917937853109
1989,11.696267123287669
1990,11.551717808219177
1991,11.647065753424657
1992,11.754549180327857
1993,11.671495890410956
1994,11.892643835616438
1995,11.604932876712345
1996,11.80495765027322
1997,11.528832876712325
1998,11.74787671232877
1999,11.72607397260275
2000,11.62770081967213
2001,11.636320547945214
2002,11.292236986301377
2003,11.683254794520543
2004,11.600965846994539
2005,11.300927397260276
2006,11.116763013698623
2007,11.080601369863015
2008,11.608627049180335
2009,11.490280821917816
2010,11.409091780821907
2011,10.992034246575338
2012,11.205267759562853
2013,11.710360273972597
2014,11.78331095890411
2015,11.489958904109592
2016,10.65310245901638
2017,9.221819620253171
