Year,Extent
1979,12.319560439560446
1980,12.3341475409836
1981,12.135486338797817
1982,12.43944505494506
1983,12.335896174863388
1984,11.912601092896175
1985,11.986598901098898
1986,12.208224043715852
1987,11.39722727272727
1988,12.093169491525419
1989,11.966854794520543
1990,11.693841095890408
1991,11.749257534246569
1992,12.110480874316936
1993,11.92305205479452
1994,12.011317808219186
1995,11.415109589041096
1996,11.840786885245905
1997,11.667613698630138
1998,11.757380821917812
1999,11.691465753424655
2000,11.508174863387978
2001,11.600016438356166
2002,11.362865753424662
2003,11.397221917808208
2004,11.240434426229513
2005,10.906975342465747
2006,10.772613698630131
2007,10.474095890410963
2008,10.977846994535522
2009,10.931969863013702
2010,10.711391780821918
2011,10.483495890410955
2012,10.406098360655747
2013,10.89711506849315
2014,10.790495890410952
2015,10.565816438356164
2016,10.150693989071028
