Year,Month,CO2
1958.0,3.0,314.89
1958.0,4.0,314.98
1958.0,5.0,315.06
1958.0,6.0,315.14
1958.0,7.0,315.21
1958.0,8.0,315.29
1958.0,9.0,315.35
1958.0,10.0,315.4
1958.0,11.0,315.46
1958.0,12.0,315.51
1959.0,1.0,315.57
1959.0,2.0,315.63
1959.0,3.0,315.69
1959.0,4.0,315.76
1959.0,5.0,315.84
1959.0,6.0,315.93
1959.0,7.0,316.02
1959.0,8.0,316.12
1959.0,9.0,316.21
1959.0,10.0,316.3
1959.0,11.0,316.39
1959.0,12.0,316.47
1960.0,1.0,316.56
1960.0,2.0,316.64
1960.0,3.0,316.72
1960.0,4.0,316.8
1960.0,5.0,316.87
1960.0,6.0,316.93
1960.0,7.0,316.98
1960.0,8.0,317.01
1960.0,9.0,317.04
1960.0,10.0,317.07
1960.0,11.0,317.1
1960.0,12.0,317.14
1961.0,1.0,317.19
1961.0,2.0,317.26
1961.0,3.0,317.32
1961.0,4.0,317.41
1961.0,5.0,317.49
1961.0,6.0,317.59
1961.0,7.0,317.67
1961.0,8.0,317.76
1961.0,9.0,317.84
1961.0,10.0,317.92
1961.0,11.0,317.99
1961.0,12.0,318.06
1962.0,1.0,318.12
1962.0,2.0,318.19
1962.0,3.0,318.25
1962.0,4.0,318.32
1962.0,5.0,318.39
1962.0,6.0,318.45
1962.0,7.0,318.5
1962.0,8.0,318.55
1962.0,9.0,318.6
1962.0,10.0,318.64
1962.0,11.0,318.68
1962.0,12.0,318.71
1963.0,1.0,318.76
1963.0,2.0,318.8
1963.0,3.0,318.85
1963.0,4.0,318.9
1963.0,5.0,318.96
1963.0,6.0,319.01
1963.0,7.0,319.05
1963.0,8.0,319.09
1963.0,9.0,319.13
1963.0,10.0,319.18
1963.0,11.0,319.22
1963.0,12.0,319.27
1964.0,1.0,319.31
1964.0,2.0,319.36
1964.0,3.0,319.4
1964.0,4.0,319.45
1964.0,5.0,319.49
1964.0,6.0,319.52
1964.0,7.0,319.55
1964.0,8.0,319.58
1964.0,9.0,319.6
1964.0,10.0,319.62
1964.0,11.0,319.63
1964.0,12.0,319.65
1965.0,1.0,319.68
1965.0,2.0,319.71
1965.0,3.0,319.76
1965.0,4.0,319.82
1965.0,5.0,319.9
1965.0,6.0,319.99
1965.0,7.0,320.09
1965.0,8.0,320.2
1965.0,9.0,320.32
1965.0,10.0,320.43
1965.0,11.0,320.55
1965.0,12.0,320.66
1966.0,1.0,320.78
1966.0,2.0,320.91
1966.0,3.0,321.01
1966.0,4.0,321.12
1966.0,5.0,321.23
1966.0,6.0,321.32
1966.0,7.0,321.41
1966.0,8.0,321.48
1966.0,9.0,321.55
1966.0,10.0,321.62
1966.0,11.0,321.68
1966.0,12.0,321.74
1967.0,1.0,321.8
1967.0,2.0,321.85
1967.0,3.0,321.9
1967.0,4.0,321.95
1967.0,5.0,322.01
1967.0,6.0,322.07
1967.0,7.0,322.13
1967.0,8.0,322.2
1967.0,9.0,322.27
1967.0,10.0,322.34
1967.0,11.0,322.42
1967.0,12.0,322.49
1968.0,1.0,322.57
1968.0,2.0,322.65
1968.0,3.0,322.73
1968.0,4.0,322.82
1968.0,5.0,322.92
1968.0,6.0,323.02
1968.0,7.0,323.13
1968.0,8.0,323.25
1968.0,9.0,323.36
1968.0,10.0,323.48
1968.0,11.0,323.61
1968.0,12.0,323.74
1969.0,1.0,323.88
1969.0,2.0,324.03
1969.0,3.0,324.16
1969.0,4.0,324.3
1969.0,5.0,324.44
1969.0,6.0,324.57
1969.0,7.0,324.69
1969.0,8.0,324.8
1969.0,9.0,324.9
1969.0,10.0,324.99
1969.0,11.0,325.07
1969.0,12.0,325.15
1970.0,1.0,325.24
1970.0,2.0,325.32
1970.0,3.0,325.39
1970.0,4.0,325.47
1970.0,5.0,325.55
1970.0,6.0,325.63
1970.0,7.0,325.7
1970.0,8.0,325.77
1970.0,9.0,325.83
1970.0,10.0,325.88
1970.0,11.0,325.93
1970.0,12.0,325.97
1971.0,1.0,326.01
1971.0,2.0,326.04
1971.0,3.0,326.08
1971.0,4.0,326.13
1971.0,5.0,326.19
1971.0,6.0,326.26
1971.0,7.0,326.33
1971.0,8.0,326.4
1971.0,9.0,326.47
1971.0,10.0,326.54
1971.0,11.0,326.62
1971.0,12.0,326.69
1972.0,1.0,326.78
1972.0,2.0,326.87
1972.0,3.0,326.97
1972.0,4.0,327.09
1972.0,5.0,327.22
1972.0,6.0,327.37
1972.0,7.0,327.53
1972.0,8.0,327.71
1972.0,9.0,327.9
1972.0,10.0,328.09
1972.0,11.0,328.3
1972.0,12.0,328.5
1973.0,1.0,328.71
1973.0,2.0,328.92
1973.0,3.0,329.11
1973.0,4.0,329.31
1973.0,5.0,329.48
1973.0,6.0,329.64
1973.0,7.0,329.78
1973.0,8.0,329.89
1973.0,9.0,329.96
1973.0,10.0,330.01
1973.0,11.0,330.05
1973.0,12.0,330.07
1974.0,1.0,330.09
1974.0,2.0,330.11
1974.0,3.0,330.14
1974.0,4.0,330.17
1974.0,5.0,330.21
1974.0,6.0,330.25
1974.0,7.0,330.3
1974.0,8.0,330.35
1974.0,9.0,330.4
1974.0,10.0,330.46
1974.0,11.0,330.51
1974.0,12.0,330.58
1975.0,1.0,330.65
1975.0,2.0,330.73
1975.0,3.0,330.81
1975.0,4.0,330.91
1975.0,5.0,331.0
1975.0,6.0,331.1
1975.0,7.0,331.2
1975.0,8.0,331.29
1975.0,9.0,331.39
1975.0,10.0,331.47
1975.0,11.0,331.56
1975.0,12.0,331.64
1976.0,1.0,331.72
1976.0,2.0,331.8
1976.0,3.0,331.87
1976.0,4.0,331.95
1976.0,5.0,332.02
1976.0,6.0,332.1
1976.0,7.0,332.19
1976.0,8.0,332.28
1976.0,9.0,332.38
1976.0,10.0,332.49
1976.0,11.0,332.62
1976.0,12.0,332.76
1977.0,1.0,332.92
1977.0,2.0,333.1
1977.0,3.0,333.26
1977.0,4.0,333.45
1977.0,5.0,333.63
1977.0,6.0,333.82
1977.0,7.0,333.99
1977.0,8.0,334.15
1977.0,9.0,334.31
1977.0,10.0,334.46
1977.0,11.0,334.6
1977.0,12.0,334.74
1978.0,1.0,334.87
1978.0,2.0,335.01
1978.0,3.0,335.13
1978.0,4.0,335.25
1978.0,5.0,335.37
1978.0,6.0,335.49
1978.0,7.0,335.59
1978.0,8.0,335.7
1978.0,9.0,335.79
1978.0,10.0,335.89
1978.0,11.0,335.98
1978.0,12.0,336.08
1979.0,1.0,336.19
1979.0,2.0,336.3
1979.0,3.0,336.41
1979.0,4.0,336.53
1979.0,5.0,336.66
1979.0,6.0,336.8
1979.0,7.0,336.93
1979.0,8.0,337.07
1979.0,9.0,337.21
1979.0,10.0,337.36
1979.0,11.0,337.52
1979.0,12.0,337.68
1980.0,1.0,337.85
1980.0,2.0,338.01
1980.0,3.0,338.17
1980.0,4.0,338.33
1980.0,5.0,338.48
1980.0,6.0,338.63
1980.0,7.0,338.76
1980.0,8.0,338.9
1980.0,9.0,339.02
1980.0,10.0,339.13
1980.0,11.0,339.24
1980.0,12.0,339.34
1981.0,1.0,339.44
1981.0,2.0,339.54
1981.0,3.0,339.63
1981.0,4.0,339.72
1981.0,5.0,339.8
1981.0,6.0,339.89
1981.0,7.0,339.97
1981.0,8.0,340.06
1981.0,9.0,340.16
1981.0,10.0,340.26
1981.0,11.0,340.37
1981.0,12.0,340.48
1982.0,1.0,340.59
1982.0,2.0,340.7
1982.0,3.0,340.79
1982.0,4.0,340.88
1982.0,5.0,340.96
1982.0,6.0,341.04
1982.0,7.0,341.11
1982.0,8.0,341.19
1982.0,9.0,341.27
1982.0,10.0,341.37
1982.0,11.0,341.48
1982.0,12.0,341.61
1983.0,1.0,341.77
1983.0,2.0,341.94
1983.0,3.0,342.11
1983.0,4.0,342.3
1983.0,5.0,342.49
1983.0,6.0,342.69
1983.0,7.0,342.86
1983.0,8.0,343.03
1983.0,9.0,343.19
1983.0,10.0,343.34
1983.0,11.0,343.49
1983.0,12.0,343.62
1984.0,1.0,343.76
1984.0,2.0,343.89
1984.0,3.0,344.01
1984.0,4.0,344.14
1984.0,5.0,344.26
1984.0,6.0,344.38
1984.0,7.0,344.5
1984.0,8.0,344.62
1984.0,9.0,344.74
1984.0,10.0,344.86
1984.0,11.0,344.99
1984.0,12.0,345.12
1985.0,1.0,345.25
1985.0,2.0,345.39
1985.0,3.0,345.5
1985.0,4.0,345.62
1985.0,5.0,345.73
1985.0,6.0,345.83
1985.0,7.0,345.92
