Date,Year,Extent,hemisphere
1978-10-26,1978,10.231,north
1978-10-28,1978,10.42,north
1978-10-30,1978,10.557,north
1978-11-01,1978,10.67,north
1978-11-03,1978,10.777000000000001,north
1978-11-05,1978,10.968,north
1978-11-07,1978,11.08,north
1978-11-09,1978,11.189,north
1978-11-11,1978,11.314,north
1978-11-13,1978,11.46,north
1978-11-15,1978,11.539000000000001,north
1978-11-17,1978,11.696,north
1978-11-19,1978,11.87,north
1978-11-21,1978,12.052999999999999,north
1978-11-23,1978,12.274000000000001,north
1978-11-25,1978,12.440999999999999,north
1978-11-27,1978,12.662,north
1978-11-29,1978,12.684000000000001,north
1978-12-01,1978,12.725,north
1978-12-03,1978,12.66,north
1978-12-05,1978,12.785,north
1978-12-07,1978,13.050999999999998,north
1978-12-09,1978,13.142999999999999,north
1978-12-11,1978,13.437000000000001,north
1978-12-13,1978,13.603,north
1978-12-15,1978,13.649000000000001,north
1978-12-17,1978,13.807,north
1978-12-19,1978,13.892000000000001,north
1978-12-21,1978,13.995999999999999,north
1978-12-23,1978,14.189,north
1978-12-25,1978,14.267999999999999,north
1978-12-27,1978,14.383,north
1978-12-29,1978,14.5,north
1978-12-31,1978,14.585,north
1979-01-02,1979,14.997,north
1979-01-04,1979,14.922,north
1979-01-06,1979,14.929,north
1979-01-08,1979,14.968,north
1979-01-10,1979,15.19,north
1979-01-12,1979,15.327,north
1979-01-14,1979,15.352,north
1979-01-16,1979,15.5,north
1979-01-18,1979,15.517000000000001,north
1979-01-20,1979,15.709000000000001,north
1979-01-22,1979,15.679,north
1979-01-24,1979,15.745,north
1979-01-26,1979,15.686,north
1979-01-28,1979,15.777000000000001,north
1979-01-30,1979,15.912,north
1979-02-01,1979,15.857000000000001,north
1979-02-03,1979,15.839,north
1979-02-05,1979,15.831,north
1979-02-07,1979,15.800999999999998,north
1979-02-09,1979,15.99,north
1979-02-11,1979,16.099,north
1979-02-13,1979,16.289,north
1979-02-15,1979,16.323,north
1979-02-17,1979,16.343,north
1979-02-19,1979,16.291,north
1979-02-21,1979,16.26,north
1979-02-23,1979,16.401,north
1979-02-25,1979,16.579,north
1979-02-27,1979,16.551,north
1979-03-01,1979,16.635,north
1979-03-03,1979,16.457,north
1979-03-05,1979,16.567999999999998,north
1979-03-07,1979,16.547,north
1979-03-09,1979,16.535999999999998,north
1979-03-11,1979,16.512999999999998,north
1979-03-13,1979,16.414,north
1979-03-15,1979,16.31,north
1979-03-17,1979,16.467,north
1979-03-19,1979,16.505,north
1979-03-21,1979,16.349,north
1979-03-23,1979,16.279,north
1979-03-25,1979,16.264,north
1979-03-27,1979,16.06,north
1979-03-29,1979,15.763,north
1979-03-31,1979,15.804,north
1979-04-02,1979,15.66,north
1979-04-04,1979,15.640999999999998,north
1979-04-06,1979,15.695,north
1979-04-08,1979,15.794,north
1979-04-10,1979,15.761,north
1979-04-12,1979,15.655,north
1979-04-14,1979,15.5,north
1979-04-16,1979,15.454,north
1979-04-18,1979,15.51,north
1979-04-20,1979,15.343,north
1979-04-22,1979,15.255,north
1979-04-24,1979,15.224,north
1979-04-26,1979,15.140999999999998,north
1979-04-28,1979,15.107999999999999,north
1979-04-30,1979,14.960999999999999,north
1979-05-02,1979,14.626,north
1979-05-04,1979,14.498,north
1979-05-06,1979,14.45,north
1979-05-08,1979,14.325,north
1979-05-10,1979,14.149000000000001,north
1979-05-12,1979,14.012,north
1979-05-14,1979,13.835999999999999,north
1979-05-16,1979,13.862,north
1979-05-18,1979,13.690999999999999,north
1979-05-20,1979,13.56,north
1979-05-22,1979,13.529000000000002,north
1979-05-24,1979,13.364,north
1979-05-26,1979,13.399000000000001,north
1979-05-28,1979,13.292,north
1979-05-30,1979,13.26,north
1979-06-01,1979,13.075999999999999,north
1979-06-03,1979,12.977,north
1979-06-05,1979,12.832,north
1979-06-07,1979,12.790999999999999,north
1979-06-09,1979,12.854000000000001,north
1979-06-11,1979,12.732999999999999,north
1979-06-13,1979,12.673,north
1979-06-15,1979,12.548,north
1979-06-17,1979,12.517000000000001,north
1979-06-19,1979,12.415,north
1979-06-21,1979,12.373,north
1979-06-23,1979,12.243,north
1979-06-25,1979,12.112,north
1979-06-27,1979,11.977,north
1979-06-29,1979,11.829,north
1979-07-01,1979,11.562000000000001,north
1979-07-03,1979,11.363,north
1979-07-05,1979,11.255,north
1979-07-07,1979,10.936,north
1979-07-09,1979,10.793,north
1979-07-11,1979,10.662,north
1979-07-13,1979,10.503,north
1979-07-15,1979,10.401,north
1979-07-17,1979,10.255999999999998,north
1979-07-19,1979,9.927,north
1979-07-21,1979,9.919,north
1979-07-23,1979,9.668,north
1979-07-25,1979,9.613999999999999,north
1979-07-27,1979,9.556000000000001,north
1979-07-29,1979,9.342,north
1979-07-31,1979,9.222999999999999,north
1979-08-02,1979,9.0,north
1979-08-04,1979,8.859,north
1979-08-06,1979,8.744,north
1979-08-08,1979,8.61,north
1979-08-10,1979,8.328,north
1979-08-12,1979,8.283999999999999,north
1979-08-14,1979,8.138,north
1979-08-16,1979,7.971,north
1979-08-18,1979,7.811,north
1979-08-20,1979,7.659,north
1979-08-22,1979,7.566,north
1979-08-24,1979,7.577000000000001,north
1979-08-26,1979,7.421,north
1979-08-28,1979,7.364,north
1979-08-30,1979,7.284,north
1979-09-01,1979,7.228,north
1979-09-03,1979,7.147,north
1979-09-05,1979,7.037000000000001,north
1979-09-07,1979,7.075,north
1979-09-09,1979,7.0920000000000005,north
1979-09-11,1979,6.981,north
1979-09-13,1979,7.002999999999999,north
1979-09-15,1979,7.007000000000001,north
1979-09-17,1979,7.001,north
1979-09-19,1979,6.91,north
1979-09-21,1979,6.895,north
1979-09-23,1979,7.0329999999999995,north
1979-09-25,1979,7.058,north
1979-09-27,1979,7.127000000000001,north
1979-09-29,1979,7.172999999999999,north
1979-10-01,1979,7.404,north
1979-10-03,1979,7.534,north
1979-10-05,1979,7.813,north
1979-10-07,1979,7.877999999999999,north
1979-10-09,1979,8.115,north
1979-10-11,1979,8.136000000000001,north
1979-10-13,1979,8.338,north
1979-10-15,1979,8.57,north
1979-10-17,1979,8.937999999999999,north
1979-10-19,1979,9.19,north
1979-10-21,1979,9.295,north
1979-10-23,1979,9.466000000000001,north
1979-10-25,1979,9.7,north
1979-10-27,1979,9.869,north
1979-10-29,1979,9.797,north
1979-10-31,1979,9.924,north
1979-11-02,1979,10.144,north
1979-11-04,1979,10.158999999999999,north
1979-11-06,1979,10.267000000000001,north
1979-11-08,1979,10.27,north
1979-11-10,1979,10.497,north
1979-11-12,1979,10.61,north
1979-11-14,1979,10.8,north
1979-11-16,1979,10.92,north
1979-11-18,1979,11.01,north
1979-11-20,1979,11.157,north
1979-11-22,1979,11.352,north
1979-11-24,1979,11.419,north
1979-11-26,1979,11.581,north
1979-11-28,1979,11.884,north
1979-11-30,1979,12.075999999999999,north
1979-12-02,1979,12.39,north
1979-12-04,1979,12.462,north
1979-12-06,1979,12.780999999999999,north
1979-12-08,1979,12.991,north
1979-12-10,1979,13.100999999999999,north
1979-12-12,1979,13.292,north
1979-12-14,1979,13.267999999999999,north
1979-12-16,1979,13.322000000000001,north
1979-12-18,1979,13.377,north
1979-12-20,1979,13.540999999999999,north
1979-12-22,1979,13.619000000000002,north
1979-12-24,1979,13.773,north
1979-12-26,1979,13.934000000000001,north
1979-12-28,1979,14.100999999999999,north
1979-12-30,1979,14.092,north
1980-01-01,1980,14.2,north
1980-01-03,1980,14.302,north
1980-01-05,1980,14.414000000000001,north
1980-01-07,1980,14.517999999999999,north
1980-01-09,1980,14.594000000000001,north
1980-01-11,1980,14.665,north
1980-01-13,1980,14.770999999999999,north
1980-01-15,1980,14.831,north
1980-01-17,1980,14.957,north
1980-01-19,1980,15.12,north
1980-01-21,1980,15.140999999999998,north
1980-01-23,1980,15.195,north
1980-01-25,1980,15.209000000000001,north
1980-01-27,1980,15.124,north
1980-01-29,1980,15.258,north
1980-01-31,1980,15.491,north
1980-02-02,1980,15.401,north
1980-02-04,1980,15.639000000000001,north
1980-02-06,1980,15.76,north
1980-02-08,1980,15.888,north
1980-02-10,1980,15.895,north
1980-02-12,1980,15.97,north
1980-02-14,1980,16.017,north
1980-02-16,1980,16.095,north
1980-02-18,1980,16.095,north
1980-02-20,1980,16.17,north
1980-02-22,1980,16.066,north
1980-02-24,1980,16.087,north
1980-02-26,1980,16.069000000000003,north
1980-02-28,1980,16.22,north
1980-03-01,1980,16.157,north
1980-03-03,1980,16.248,north
1980-03-05,1980,16.302,north
1980-03-07,1980,16.289,north
1980-03-09,1980,16.168,north
1980-03-11,1980,16.04,north
1980-03-13,1980,15.966,north
1980-03-15,1980,15.994000000000002,north
1980-03-17,1980,15.988,north
1980-03-19,1980,16.005,north
1980-03-21,1980,15.946,north
1980-03-23,1980,15.945,north
1980-03-25,1980,15.923,north
1980-03-27,1980,15.985999999999999,north
1980-03-29,1980,15.890999999999998,north
1980-03-31,1980,15.812999999999999,north
1980-04-02,1980,15.681,north
1980-04-04,1980,15.664000000000001,north
1980-04-06,1980,15.707,north
1980-04-08,1980,15.652999999999999,north
1980-04-10,1980,15.644,north
