Year,AvgTemp
1850-01-01,12.832999999999998
1850-02-01,13.588
1850-03-01,14.043
1850-04-01,14.667
1850-05-01,15.507
1850-06-01,16.352999999999998
1850-07-01,16.783
1850-08-01,16.718
1850-09-01,15.886
1850-10-01,14.831
1850-11-01,13.897
1850-12-01,13.3
1851-01-01,13.245
1851-02-01,13.331
1851-03-01,13.897
1851-04-01,14.64
1851-05-01,15.771
1851-06-01,16.496000000000002
1851-07-01,16.831
1851-08-01,16.621000000000002
1851-09-01,16.058
1851-10-01,15.213
1851-11-01,14.161
1851-12-01,13.638
1852-01-01,13.231
1852-02-01,13.311
1852-03-01,13.736
1852-04-01,14.786
1852-05-01,15.899000000000001
1852-06-01,16.619
1852-07-01,16.984
1852-08-01,16.566
1852-09-01,16.038
1852-10-01,15.177999999999999
1852-11-01,13.948
1852-12-01,13.782
1853-01-01,13.143
1853-02-01,13.362
1853-03-01,14.033
1853-04-01,14.919
1853-05-01,15.793
1853-06-01,16.455000000000002
1853-07-01,16.999000000000002
1853-08-01,16.789
1853-09-01,15.942
1853-10-01,14.874
1853-11-01,13.829
1853-12-01,13.324000000000002
1854-01-01,12.983
1854-02-01,13.248
1854-03-01,14.089
1854-04-01,14.945
1854-05-01,15.793
1854-06-01,16.285999999999998
1854-07-01,16.775000000000002
1854-08-01,16.707
1854-09-01,16.098
1854-10-01,15.378
1854-11-01,14.123
1854-12-01,13.467
1855-01-01,13.384
1855-02-01,13.645999999999999
1855-03-01,14.172
1855-04-01,15.187000000000001
1855-05-01,15.822000000000001
1855-06-01,16.445
1855-07-01,16.675
1855-08-01,16.685000000000002
1855-09-01,15.829
1855-10-01,15.075
1855-11-01,14.118
1855-12-01,13.215
1856-01-01,13.368
1856-02-01,13.311
1856-03-01,13.957
1856-04-01,14.945
1856-05-01,15.812999999999999
1856-06-01,16.492
1856-07-01,16.675
1856-08-01,16.39
1856-09-01,15.640999999999998
1856-10-01,14.783
1856-11-01,13.856
1856-12-01,13.321
1857-01-01,12.972000000000001
1857-02-01,13.385000000000002
1857-03-01,13.915999999999999
1857-04-01,14.481
1857-05-01,15.279000000000002
1857-06-01,16.175
1857-07-01,16.477999999999998
1857-08-01,16.459
1857-09-01,15.84
1857-10-01,14.918
1857-11-01,13.829
1857-12-01,13.367
1858-01-01,13.220999999999998
1858-02-01,13.29
1858-03-01,14.044
1858-04-01,14.967
1858-05-01,15.540999999999999
1858-06-01,16.172
1858-07-01,16.51
1858-08-01,16.489
1858-09-01,15.833
1858-10-01,15.114
1858-11-01,14.134
1858-12-01,13.263
1859-01-01,13.058
1859-02-01,13.33
1859-03-01,14.104000000000001
1859-04-01,15.197000000000001
1859-05-01,15.868
1859-06-01,16.400000000000002
1859-07-01,16.494
1859-08-01,16.45
1859-09-01,15.589
1859-10-01,15.062
1859-11-01,14.094000000000001
1859-12-01,13.513
1860-01-01,13.17
1860-02-01,13.424
1860-03-01,13.714
1860-04-01,14.861
1860-05-01,15.758
1860-06-01,16.338
1860-07-01,16.737000000000002
1860-08-01,16.634
1860-09-01,16.133
1860-10-01,15.075999999999999
1860-11-01,13.922
1860-12-01,12.828
1861-01-01,12.475
1861-02-01,12.917000000000002
1861-03-01,13.824000000000002
1861-04-01,15.018
1861-05-01,15.489
1861-06-01,16.358
1861-07-01,16.547
1861-08-01,16.715999999999998
1861-09-01,15.927
1861-10-01,14.905
1861-11-01,14.095
1861-12-01,13.337
1862-01-01,12.658
1862-02-01,13.192
1862-03-01,14.044
1862-04-01,14.825
1862-05-01,15.708
1862-06-01,16.349
1862-07-01,16.593
1862-08-01,16.305999999999994
1862-09-01,15.788
1862-10-01,14.902
1862-11-01,13.784
1862-12-01,12.732000000000001
1863-01-01,13.296
1863-02-01,13.634
1863-03-01,14.005999999999998
1863-04-01,15.01
1863-05-01,15.823
1863-06-01,16.224
1863-07-01,16.575
1863-08-01,16.437
1863-09-01,15.898
1863-10-01,14.978
1863-11-01,13.992
1863-12-01,13.356
1864-01-01,12.879000000000001
1864-02-01,13.275
1864-03-01,13.99
1864-04-01,14.83
1864-05-01,15.851
1864-06-01,16.490000000000002
1864-07-01,16.715
1864-08-01,16.494
